Row,"Stock Code",yahoo_code,"Sec. type",Issuer,"First trade on this board",First_trade,"Total return %","CAGR total return %","CAGR relative return %"
1,8495,8495.HK,O,1957 & Co. (Hospitality) Limited,2017-12-05,2017-12-05,-48.18,-11.27,-7.45
2,3601,3601.HK,O,360 LUDASHI HOLDINGS LIMITED,2019-10-10,2019-10-10,-84.54,-40.02,-36.9
3,1361,1361.HK,O,361 Degrees International Limited,2009-06-30,2009-06-30,62.4,3.54,0.08
4,1244,1244.HK,O,3D Medicines Inc.,2022-12-15,2022-12-15,160.73,,
5,1530,1530.HK,O,3SBio Inc.,2015-06-11,2015-06-11,-13.1,-1.74,-0.78
6,2051,2051.HK,O,51 Credit Card Inc.,2018-07-13,2018-07-13,-98.86,-59.89,-57.84
7,797,0797.HK,O,7Road Holdings Limited,2018-07-18,2018-07-18,58.72,9.93,15.19
8,1737,1737.HK,O,A & S Group (Holdings) Limited,2018-03-14,2018-03-14,-65.08,-18.23,-13.03
9,1616,1616.HK,O,A Metaverse Company,2012-07-12,2012-07-12,-85.4,-17.96,-21.69
10,3319,3319.HK,H,"A-Living Smart City Services Co., Ltd.",2018-02-09,2018-02-09,-39.32,-8.97,-4.55
11,1841,1841.HK,O,A.Plus Group Holdings Limited,2019-01-11,2019-01-11,-9.75,-2.31,1.96
12,800,0800.HK,O,A8 New Media Group Limited,2008-06-12,2008-06-12,-89.88,-14.18,-15.88
13,2018,2018.HK,O,AAC TECHNOLOGIES HOLDINGS INC.,2005-08-09,2005-08-09,563,11.2,6.24
14,2686,2686.HK,O,AAG Energy Holdings Limited,2015-06-23,2015-06-23,-10.38,-1.37,-0.2
15,1615,1615.HK,O,AB Builders Group Limited,2018-09-10,2018-09-10,-62.17,-18.56,-15.33
16,2256,2256.HK,O,Abbisko Cayman Limited,2021-10-13,2021-10-13,-77.58,-59.88,-53.85
17,8131,8131.HK,O,ABC MULTIACTIVE LIMITED,2001-01-31,2001-01-31,-98.34,-16.76,-20.07
18,1627,1627.HK,O,Able Engineering Holdings Limited,2017-02-20,2017-02-20,-49.55,-10.31,-9.99
19,1283,1283.HK,O,Accel Group Holdings Limited,2019-10-18,2019-10-18,55.1,12.85,20.04
20,474,0474.HK,O,Aceso Life Science Group Limited,2006-06-06,2006-06-06,-85.86,-10.87,-14.55
21,1870,1870.HK,O,Acme International Holdings Limited,2019-11-08,2019-11-08,-18.45,-5.55,1.53
22,6669,6669.HK,O,Acotec Scientific Holdings Limited,2021-08-24,2021-08-24,-10.8,-6.22,7.28
23,9919,9919.HK,O,Activation Group Holdings Limited (KY),2020-01-16,2020-01-16,1.5,0.44,9.77
24,2623,2623.HK,O,Add New Energy Investment Holdings Group Limited,2012-04-27,2012-04-27,-87.53,-17.1,-19.21
25,1163,1163.HK,O,ADTIGER CORPORATIONS LIMITED,2020-07-10,2020-07-10,-77.57,-40.25,-35.82
28,8341,8341.HK,O,Aeso Holding Limited,2017-01-13,2017-01-13,-99.11,-52.26,-52.49
29,1757,1757.HK,O,Affluent Foundation Holdings Limited,2018-06-07,2018-06-07,-44.44,-11.1,-4.99
30,1466,1466.HK,O,Affluent Partners Holdings Limited,2014-10-17,2014-10-17,-74.38,-14.59,-15.48
31,3383,3383.HK,O,Agile Group Holdings Limited (KY),2005-12-15,2005-12-15,-12.82,-0.78,-5.17
32,1288,1288.HK,H,AGRICULTURAL BANK OF CHINA LIMITED,2010-07-16,2010-07-16,86.69,4.96,2.11
33,8279,8279.HK,O,AGTech Holdings Limited,2004-01-19,2004-01-19,357.69,8.17,2.79
34,8290,8290.HK,O,Ahsay Backup Software Development Company Limited,2015-10-08,2015-10-08,-99.52,-50.24,-50.82
35,1299,1299.HK,O,AIA Group Limited,2010-10-29,2010-10-29,314.48,11.95,9.99
37,6660,6660.HK,H,"AIM Vaccine Co., Ltd.",2022-10-06,2022-10-06,179.71,372.3,320.62
38,753,0753.HK,H,Air China Limited,2004-12-15,2004-12-15,111.37,4.14,-0.8
39,538,0538.HK,O,Ajisen (China) Holdings Limited,2007-03-30,2007-03-30,-75.71,-8.37,-11.09
40,1789,1789.HK,O,AK Medical Holdings Limited,2017-12-20,2017-12-20,174.05,20.29,25.83
41,9926,9926.HK,O,"Akeso, Inc.",2020-04-24,2020-04-24,46.91,13.15,17.34
42,8360,8360.HK,O,AL Group Limited,2016-07-12,2016-07-12,-51.25,-9.89,-11.38
44,9988,9988.HK,O,Alibaba Group Holding Limited (KY),2019-11-26,2019-11-26,-55.89,-20.73,-15.32
47,8170,8170.HK,O,All Nation International Group Limited (KY),2014-12-05,2014-12-05,-91.08,-25.43,-26.4
49,1563,1563.HK,O,Alliance International Education Leasing Holdings Limited,2019-03-15,2019-03-15,483.13,51.8,62.22
51,8320,8320.HK,O,Allied Sustainability and Environmental Consultants Group Limited,2016-10-17,2016-10-17,-96.52,-39.73,-39.98
52,833,0833.HK,O,ALLTRONICS HOLDINGS LIMITED,2005-07-15,2005-07-15,79.21,3.31,-1.48
53,948,0948.HK,O,Alpha Professional Holdings Limited,2010-03-01,2010-03-01,-97.22,-23.68,-25.58
54,9966,9966.HK,O,Alphamab Oncology,2019-12-12,2019-12-12,-41.11,-14.12,-8.08
55,8149,8149.HK,O,Altus Holdings Limited (KY),2016-10-17,2016-10-17,-97.21,-41.72,-41.96
56,2600,2600.HK,H,ALUMINUM CORPORATION OF CHINA LIMITED,2001-12-12,2001-12-12,217.46,5.53,-0.1
57,1849,1849.HK,O,AM Group Holdings Limited,2019-06-26,2019-06-26,-38.78,-11.7,-5.61
58,8168,8168.HK,O,Amasse Capital Holdings Limited,2018-03-22,2018-03-22,1.34,0.26,6.4
60,77,0077.HK,O,AMS PUBLIC TRANSPORT HOLDINGS LIMITED,2004-04-15,2004-04-15,106.52,3.86,-1.64
61,8545,8545.HK,O,Amuse Group Holding Limited,2018-05-31,2018-05-31,-93.25,-41.59,-37.99
62,8353,8353.HK,O,ANACLE SYSTEMS LIMITED,2016-12-16,2016-12-16,-41.67,-8,-8.99
63,1977,1977.HK,O,ANALOGUE HOLDINGS LIMITED,2019-07-12,2019-07-12,14.74,3.59,11.26
64,1592,1592.HK,O,Anchorstone Holdings Limited,2018-07-04,2018-07-04,-71.23,-22.37,-18.71
65,9956,9956.HK,O,ANE (CAYMAN) INC.,2021-11-11,2021-11-11,-61.2,-45.43,-36.81
67,6699,6699.HK,O,Angelalign Technology Inc.,2021-06-16,2021-06-16,-80.19,-56.06,-47.98
70,2020,2020.HK,O,ANTA Sports Products Limited,2007-07-10,2007-07-10,"1,751.06",20.14,17.64
71,6996,6996.HK,O,Antengene Corporation Limited,2020-11-20,2020-11-20,-89.28,-58.51,-54.34
72,3337,3337.HK,O,Anton Oilfield Services Group,2007-12-14,2007-12-14,-70.08,-7.5,-8.32
74,1370,1370.HK,O,Aowei Holding Limited,2013-11-28,2013-11-28,-75.32,-13.67,-14.52
